#OTUID,taxonomy,confidence
ed83748b9784661b468b6c1d8617b97b,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Exidiaceae;g__Exidia,0.6
9a72faca04fbc440d1e63d23b7e0b2e5,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium,1
6a91d49a3cdea3e3b4bd1c3b4e8e0b5e,k__Fungi;p__Ascomycota,0.7
671ba9651479490fb5683bcfb4a86e4e,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Peniophoraceae;g__Peniophora,0.6
55315c658879288bf1e9cb4318f453be,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae,1
f02786815bf93776c285191d24cf01ef,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Coniothyriaceae;g__Coniothyrium;s__unidentified,1
353f6fcc23edc3851d800881a0812996,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Fomitopsidaceae;g__Fomitopsis,0.666666667
a054f96d6c3ea1776f0b9549b6e5eb13,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon,1
4239391eeabad1121748cf5f7631d6ef,Unassigned,1
51899c81c421fb57e98d7d2be91c72ec,k__Fungi;p__Ascomycota,0.7
73365404b7e69438e5041afebceae3b0,k__Fungi;p__Basidiomycota;c__Wallemiomycetes;o__Wallemiales;f__Wallemiaceae;g__Wallemia;s__Wallemia_tropicalis,1
158f29872fb73dbb8b481754be946bda,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma,1
f186765199f8095da069d3df1ff9e884,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula,1
279acb520c2cf3cfe55149a8b7b4ad5f,k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Debaryomyces,1
820a21eebf8b87040f520eb0b5e1aede,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales,0.6
ed5864efeab415dde59b4f3120c2d4a3,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae,0.8
670a24ceab13d210dc5d91c03c4caf43,Unassigned,1
16971b98204566c2912da891fe940869,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Irpicaceae;g__Irpex,1
b51197e3c36f9956a197fe3f7c4ec61b,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae,1
dbe5b619b92b5e879ccf1a7e0777281a,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae,1
6f29637210b2065d41bb4de56949dcef,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus,1
08626328c2e847a59f589834f0551622,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiales;f__Cystobasidiaceae;g__Cystobasidium,0.8
c1ec56c5606f2a820fffba192fece19e,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula,1
5024be6c74b2ec513086c1e6c897f47e,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Naganishia,1
75bc831e4d58588421e17238eaa8f259,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Sporobolomyces,0.8
2ed96e4214c4577d1c4a3098abd8d035,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Cystofilobasidiaceae;g__Cystofilobasidium;s__Cystofilobasidium_macerans,0.666666667
d19b873fe38822c6f26b987c64b2b157,k__Fungi;p__Ascomycota,0.7
81f4ad68bd50b3cc7f8bc6638cbc5829,Unassigned,1
3e6c8d273c0b2600d7af44732d6f3f36,k__Fungi;p__Ascomycota,0.7
326523c80cbcfb6c7ece828861940233,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae;g__Trametes,0.9
23aa25352b219442f4be2b0103fe42e1,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae,1
735706e69601e36c743b8b7c40790cb9,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Curvularia,0.9
12e3ce94e7569f784b8519834e49bd08,Unassigned,1
